Adana; 15
ZP; 1.74; 0
TIP; 1.32; 0
YSP; 1.16; 0

Karaman; 3
AKP; 41.70; 2
CHP; 22.39; 1
IYIP; 16.16; 0
MHP; 8.19; 0
MP; 3.17; 0
BBP; 2.07; 0
YRP; 1.91; 0
ZP; 1.87; 0
TIP; 1.29; 0
YSP; 1.25; 0

Kars; 3
AKP; 30.39; 1
YSP; 28.22; 1
CHP; 21.15; 1
IYIP; 9.19; 0
MHP; 4.73; 0
MP; 2.67; 0
BBP; 1.36; 0
YRP; 1.34; 0
ZP; 0.95; 0

Kastamonu; 3
AKP; 41.31; 2
CHP; 20.15; 1
IYIP; 14.93; 0
MHP; 12.14; 0
MP; 2.97; 0
ZP; 2.35; 0
BBP; 2.19; 0
YSP; 2.12; 0
YRP; 1.85; 0

Kayseri; 10
AKP; 40.49; 5
CHP; 19.26; 2
IYIP; 16.03; 2
MHP; 12.24; 1
ZP; 2.53; 0
MP; 2.51; 0
BBP; 2.18; 0
YSP; 1.94; 0
YRP; 1.81; 0
TIP; 1.01; 0

Kirikkale; 3
AKP; 33.91; 1
CHP; 22.50; 1
IYIP; 19.57; 1
MHP; 11.96; 0
MP; 3.09; 0
ZP; 2.88; 0
YSP; 2.49; 0
BBP; 2.05; 0
YRP; 1.55; 0

Kirklareli; 3
CHP; 44.46; 2
IYIP; 20.87; 1
AKP; 15.90; 0
MP; 8.50; 0
TIP; 3.70; 0
YSP; 2.09; 0
MHP; 1.64; 0
BBP; 0.95; 0
YRP; 0.95; 0
ZP; 0.93; 0

Kirsehir; 2
AKP; 30.04; 1
CHP; 28.68; 1
IYIP; 16.43; 0
MHP; 9.38; 0
MP; 4.65; 0
YSP; 3.50; 0
TIP; 2.07; 0
ZP; 2.03; 0
BBP; 1.75; 0
YRP; 1.46; 0

Kilis; 2
AKP; 40.15; 1
CHP; 20.29; 1
IYIP; 15.45; 0
MHP; 11.90; 0
YSP; 3.02; 0
MP; 2.84; 0
ZP; 2.39; 0
BBP; 2.15; 0
YRP; 1.81; 0

Kocaeli; 13
AKP; 36.63; 5
CHP; 26.07; 4
IYIP; 14.72; 2
YSP; 7.40; 1
MHP; 6.42; 1
MP; 3.75; 0
