Adana; 15
AKP; 26.25; 1
MHP; 12.59; 0
CHP; 27.31; 1
IYIP; 21.44; 1
SP; 0.75; 0
YSP; 1.46; 0
DEVA; 1.41; 0
GP; 1.00; 0
TIP; 1.07; 0
MP; 1.56; 0
ZP; 1.83; 0
BBP; 0.63; 0
YRP; 2.25; 0
DP; 0.11; 0
HUDAPAR; 0.23; 0

Kirklareli; 3
AKP; 19.25; 1
MHP; 1.73; 0
CHP; 45.05; 2
IYIP; 18.52; 0
SP; 0.40; 0
YSP; 2.92; 0
DEVA; 1.00; 0
GP; 0.62; 0
TIP; 3.30; 0
MP; 4.31; 0
ZP; 0.59; 0
BBP; 0.30; 0
YRP; 1.38; 0
DP; 0.18; 0
HUDAPAR; 0.16; 0

Kirsehir; 2
AKP; 26.76; 1
MHP; 9.86; 0
CHP; 31.85; 1
IYIP; 15.67; 0
SP; 0.62; 0
YSP; 4.23; 0
DEVA; 1.37; 0
GP; 0.95; 0
TIP; 1.84; 0
MP; 2.35; 0
ZP; 1.29; 0
BBP; 0.54; 0
YRP; 2.12; 0
DP; 0.11; 0
HUDAPAR; 0.14; 0

Kilis; 2
AKP; 32.63; 1
MHP; 12.49; 0
CHP; 24.59; 1
IYIP; 16.85; 0
SP; 0.78; 0
YSP; 2.11; 0
DEVA; 1.63; 0
GP; 1.16; 0
TIP; 1.04; 0
MP; 1.43; 0
ZP; 1.51; 0
BBP; 0.66; 0
YRP; 2.61; 0
DP; 0.09; 0
HUDAPAR; 0.17; 0

Kocaeli; 13
AKP; 34.75; 5
MHP; 6.74; 1
CHP; 25.25; 4
IYIP; 14.69; 2
SP; 1.28; 0
YSP; 6.69; 1
DEVA; 1.57; 0
GP; 1.12; 0
TIP; 1.53; 0
MP; 1.90; 0
ZP; 0.92; 0
BBP; 0.56; 0
YRP; 2.53; 0
DP; 0.10; 0
HUDAPAR; 0.15; 0

Konya; 15
AKP; 41.84; 8
MHP; 10.22; 2
CHP; 18.36; 3
IYIP; 14.49; 2
SP; 1.24; 0
YSP; 3.43; 0
DEVA; 1.88; 0
GP; 1.36; 0
TIP; 0.74; 0
MP; 1.00; 0
ZP; 1.17; 0
BBP; 0.70; 0
YRP; 3.09; 0
DP; 0.07; 0
HUDAPAR; 0.20; 0

Kutahya; 5
AKP; 36.53; 3
MHP; 11.22; 0
CHP; 22.51; 1
IYIP; 17.03; 1
SP; 1.00; 0
YSP; 1.11; 0
DEVA; 1.74; 0
GP; 1.25; 0
TIP; 0.89; 0
MP; 1.28; 0
ZP; 1.40; 0
BBP; 0.68; 0
YRP; 2.84; 0
DP; 0.08; 0
HUDAPAR; 0.20; 0

Malatya; 6
AKP; 36.62; 3
MHP; 12.30; 1
CHP; 23.48; 2
IYIP; 9.53; 0
